,Title,Review,Rating
0,Terrible product,"Its only 7 months I bought this product. It was convenient for me to use. Sound,Bass everything is good but. It said it has water & sweat resistance power. I never worked out wearing these not splashed any water but still one side stopped working in 1 second without any warning. I feel like I wasted my money in this. Wired earphones work longer than this.",1
1,Absolute rubbish!,Automatically Disconnected so many times.,1
2,Worst experience ever!,"everything is good expect built quality......built quality is very very poor another disadvantage is that when you use the earphone you feel pain in your ear bcz it is heavy specially right side buds and this is bcz heavy microphone, charge socket........you can't run with it bcz due to weight it stick out from your ear
Thanks",1
3,Worst experience ever!,"Worst Product Quality Ever,,It just stop working on one side after 15 Days,,",1
4,Very poor,Bakwas flipkart,1
5,Very poor,It's very bad sound quality,1
6,Very poor,After 1 month used right side speaker not working.,1
7,Waste of money!,"Very very bad experience

Sound problem, i.e if u call someone then other person doesn't hear u.

And Their is no replacement option only return .
This is not acceptable .",1
8,Hated it!,1 side stopped working in just 20 days .... Don't know What to do now,1
9,Did not meet expectations,Very bad,1
10,Utterly Disappointed,"Fitting of the earphone is not good at all sound is ok but the main issue is the fitting of the product... worst fitting ever , the seller is not accepting the return so in short waste of time and money .... Please don't buy",1
11,Waste of money!,Worst product quality...never buy this product...sound quality is going down day by day never bye this product,1
12,Worst experience ever!,"Power button is not working properly, and when was I used this with in 4days power button is not working",1
13,Did not meet expectations,Right side speaker comes slowly ..,1
14,Unsatisfactory,Don't buy waste of money plz don't buy😡😡😡😡😡😡😡😡😡😯😡🤬🤬😡🤬🤬😡😡🤬🤬😡😡😡😡😡😡🤬🤬😡🤬😡😡🤬😡😡😡😡😡🤬🤬🤬😡😡😡😡😡😡😡😡😡😯😯😡🤬🤬😡bluetooth connectivity is not working properly,1
15,Worst experience ever!,"Very very bad experience this time with flip cart.
They cheated this time. They send me cheap mivi earphones instead of boat and didnt make an exchange or refund. Definitely this was my last order to flipkart.",1
16,Utterly Disappointed,Automatic disconnect,1
17,Absolute rubbish!,Not a good product to buy. Connectivity is weak when riding bike,1
18,Don't waste your money,"So I ordered this product. First time I got the product with a faulty right earphone that makes constant crackling sound while playing the music or videos, so I replaced them. Second time, the earphones were working well for a few days. After sometime the same crackling sound started coming from the right earphone. I guess this is fault in all of these earphones. So please don't order these if u don't want your money to go waste.",1
19,Did not meet expectations,"Very poor quality goods
Flipkart customer reviews relantionship very poor",1
20,Did not meet expectations,It's build quality is not good. May be some design fault on this model because it is not fitted properly in ears and it feels very uncomfortable. One plus z bass headphone is much better than this .,1
21,Absolute overhyped!!!! Simply Not worth,"The Product is over-hyped in terms of sound and quality. Yes, it is economical in terms of Price and features it is providing. My Experience is, it is creating distorting sound when plugged inside ears. Also in a couple of minutes the ear plugs make ear pain which is unacceptable from comfort perspective.
Overall, not a great experience using these earphones",1
22,Hated it!,"Earphones are good in sound everything is perfectly fine but the biggest issue from which you e going to suffer is that boat gives the buttons box just near down to the right earbuds so, you will fell weight at right side of your ear and the earbuds will fall from ear due to button box weight. And it is really unexpected from boat.. Go for other earphones",1
23,Terrible product,Having noise cancellation issues during calls other person not able to listen due to loud back ground noise even in office hours,1
24,Unsatisfactory,Build material very ordinary it looks very cheap.,1
25,Terrible product,Mic is not working,1
26,Waste of money!,Thay give me wrong item this is not 255f pro plus. Audio Technology aptx not in hear. But good for valu products.,1
27,Very poor,Sound quality very bed,1
28,Very poor,Not working after 1.5month 😔,1
29,Terrible product,After 7 Months of Use Charging Port is not Working .,1
30,Hated it!,Worst product i have purchased. Never recommend this product.,1
31,Did not meet expectations,Very poor performance and bty get suddenly down and didn't get connected automatically every time to require charge first then connected to PHON,1
32,Worthless,Waste product.. not working after 3 months,1
33,Terrible product,The product is not working well I wanted replacement,1
34,Unsatisfactory,Bad this not boat company wast,1
35,Horrible,Dont buy v baad product,1
